Algorithm,Cost,Improvement
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[77.01450758004144, 60.570237252760414, 50.48751188821616, 76.27866306885116, 50.48751188821616]","[0, 21.35217226467421, 34.44415412804617, 0.9554622035666642, 34.44415412804617]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.35313333249161, 78.8561700940582, 50.83019887888237, 71.29918753126864, 50.83019887888237]","[0, 0.6262679462840122, 35.944307749131255, 10.14949941230012, 35.944307749131255]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[76.36836111224473, 70.8162738870777, 58.03666559815344, 53.75546140844267, 58.03666559815344]","[0, 7.2701405978932545, 24.004306557198102, 29.610298524759564, 24.004306557198102]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[76.3497224411982, 71.12597487964032, 61.4408136256165, 68.04093295307997, 61.4408136256165]","[0, 6.841868437152492, 19.527129030578994, 10.8825405285754, 19.527129030578994]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[82.07968847299207, 59.29638174474301, 50.83019887888237, 63.893367727703534, 50.83019887888237]","[0, 27.757545322245956, 38.07213474548237, 22.156907614571004, 38.07213474548237]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[77.21733285183387, 60.44699742278016, 61.77065107660473, 58.66083627505253, 61.77065107660473]","[0, 21.718356241639377, 20.004163838277787, 24.031517136687317, 20.004163838277787]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[76.63003333571244, 60.570237252760414, 57.61872636739139, 53.41277441777646, 57.61872636739139]","[0, 20.957574183212007, 24.80921140283659, 30.2978583034439, 24.80921140283659]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[74.65393856563828, 53.41277441777646, 50.48751188821616, 58.79283189921389, 50.48751188821616]","[0, 28.452837929221737, 32.3712682033168, 21.24617531395048, 32.3712682033168]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[75.23862626091363, 71.12597487964032, 53.75546140844267, 53.75546140844267, 53.75546140844267]","[0, 5.4661436361309885, 28.553372011300848, 28.553372011300848, 28.553372011300848]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[71.33495846539053, 59.29638174474301, 50.48751188821616, 69.51239943312166, 50.48751188821616]","[0, 16.87612494579114, 29.224726593608224, 2.55493109055796, 29.224726593608224]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[76.68605754645688, 72.63945813278502, 53.75546140844267, 70.40645838216125, 53.75546140844267]","[0, 5.276838506426546, 29.901910297217604, 8.188710393009071, 29.901910297217604]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.81257687217271, 71.12597487964032, 50.48751188821616, 76.90618022563996, 50.48751188821616]","[0, 10.883750823438255, 36.74241094974715, 3.641527138244917, 36.74241094974715]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[67.72742364382559, 71.12597487964032, 55.73557374549223, 71.90457442941687, 55.73557374549223]","[0, -5.0179839317194626, 17.70604764385807, -6.167591443546802, 17.70604764385807]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[74.64257394985499, 70.8162738870777, 50.48751188821616, 76.27866306885116, 50.48751188821616]","[0, 5.126163073298903, 32.360971471678134, -2.191898044801208, 32.360971471678134]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[76.64680233544512, 78.8561700940582, 50.48751188821616, 68.04093295307997, 50.48751188821616]","[0, -2.8825308966495102, 34.12965661991049, 11.227956183614172, 34.12965661991049]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[79.44815999224087, 60.44699742278016, 60.34804621582953, 63.893367727703534, 60.34804621582953]","[0, 23.91642873959123, 24.040976881373613, 19.578543123033263, 24.040976881373613]"
"['Random Search', 'Simple Local Search', '2-opt Local Search', 'Local Search with No Improvement Limit', 'Local Search with 2-opt and No Improvement Limit']","[73.22198873308636, 71.24580638312062, 60.09768702897815, 68.04093295307997, 60.09768702897815]","[0, 2.6988919369145385, 17.923989680135275, 7.075819531333294, 17.923989680135275]"
