Algorithm,Cost,Improvement,Time Limit,No Improvement Limit
Local Search with No Improvement Limit,53.41277441777646,34.92402231559902,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,38.48804461494104,3,2000
Random Search,76.84113911937438,0,3,2000
Simple Local Search,60.570237252760414,21.174727565317276,3,2000
2-opt Local Search,58.145575243557744,24.330149305533677,3,2000
Local Search with No Improvement Limit,58.66083627505253,23.659595696620723,3,2000
Local Search with 2-opt and No Improvement Limit,58.145575243557744,24.330149305533677,3,2000
Random Search,74.37331424745113,0,3,2000
Simple Local Search,78.22865293726939,-5.18376615164811,3,2000
2-opt Local Search,58.03666559815344,21.965739747650915,3,2000
Local Search with No Improvement Limit,69.61759091010191,6.394394798013467,3,2000
Local Search with 2-opt and No Improvement Limit,58.03666559815344,21.965739747650915,3,2000
Random Search,81.34743678860318,0,3,2000
Simple Local Search,53.75546140844267,33.91867828836883,3,2000
2-opt Local Search,58.14082475485021,28.527772908272176,3,2000
Local Search with No Improvement Limit,61.1637242978168,24.81173751452993,3,2000
Local Search with 2-opt and No Improvement Limit,58.14082475485021,28.527772908272176,3,2000
Random Search,77.31125793998432,0,3,2000
Simple Local Search,78.8561700940582,-1.998301664258495,3,2000
2-opt Local Search,55.73557374549223,27.9075580573802,3,2000
Local Search with No Improvement Limit,76.27866306885116,1.3356332552947796,3,2000
Local Search with 2-opt and No Improvement Limit,55.73557374549223,27.9075580573802,3,2000
Random Search,79.56776266980656,0,3,2000
Simple Local Search,70.8162738870777,10.998787057826585,3,2000
2-opt Local Search,50.83019887888237,36.11709419326073,3,2000
Local Search with No Improvement Limit,53.41277441777646,32.8713380575612,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,36.11709419326073,3,2000
Random Search,80.07505158168303,0,3,2000
Simple Local Search,72.63945813278502,9.285780404790744,3,2000
2-opt Local Search,59.917599368221616,25.173199161662957,3,2000
Local Search with No Improvement Limit,68.04093295307997,15.028549330782859,3,2000
Local Search with 2-opt and No Improvement Limit,59.917599368221616,25.173199161662957,3,2000
Random Search,77.27217749018749,0,3,2000
Simple Local Search,71.90457442941687,6.946359265535428,3,2000
2-opt Local Search,50.83019887888237,34.21927460846162,3,2000
Local Search with No Improvement Limit,69.51239943312166,10.042137169036316,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,34.21927460846162,3,2000
Random Search,79.77294265427362,0,3,2000
Simple Local Search,72.63945813278502,8.942235655520776,3,2000
2-opt Local Search,59.70943246849412,25.150771073761625,3,2000
Local Search with No Improvement Limit,71.90457442941687,9.863454904700355,3,2000
Local Search with 2-opt and No Improvement Limit,59.70943246849412,25.150771073761625,3,2000
Random Search,75.94078640253555,0,3,2000
Simple Local Search,78.22865293726939,-3.0126979757710917,3,2000
2-opt Local Search,53.41277441777646,29.665233996058426,3,2000
Local Search with No Improvement Limit,71.29918753126864,6.112129056266833,3,2000
Local Search with 2-opt and No Improvement Limit,53.41277441777646,29.665233996058426,3,2000
Random Search,82.63510105037234,0,3,2000
Simple Local Search,60.570237252760414,26.701563278977204,3,2000
2-opt Local Search,50.83019887888237,38.48836846233476,3,2000
Local Search with No Improvement Limit,58.79283189921389,28.85247170766426,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,38.48836846233476,3,2000
Random Search,72.03513147426273,0,3,2000
Simple Local Search,71.24580638312062,1.0957501915910568,3,2000
2-opt Local Search,55.73557374549223,22.627233955412613,3,2000
Local Search with No Improvement Limit,72.1791159847613,-0.19988095746033754,3,2000
Local Search with 2-opt and No Improvement Limit,55.73557374549223,22.627233955412613,3,2000
Random Search,81.06072241194025,0,3,2000
Simple Local Search,78.8561700940582,2.7196307314889125,3,2000
2-opt Local Search,55.76990797226263,31.19983845092439,3,2000
Local Search with No Improvement Limit,69.61759091010191,14.116740094772167,3,2000
Local Search with 2-opt and No Improvement Limit,55.76990797226263,31.19983845092439,3,2000
Random Search,73.82043500119129,0,3,2000
Simple Local Search,59.29638174474301,19.674841060221187,3,2000
2-opt Local Search,50.48751188821616,31.6076749108815,3,2000
Local Search with No Improvement Limit,53.75546140844267,27.180784822556,3,2000
Local Search with 2-opt and No Improvement Limit,50.48751188821616,31.6076749108815,3,2000
Random Search,79.88098939386992,0,3,2000
Simple Local Search,71.12597487964032,10.960072703983634,3,2000
2-opt Local Search,59.709432468494114,25.252011872206204,3,2000
Local Search with No Improvement Limit,53.41277441777646,33.134560772133646,3,2000
Local Search with 2-opt and No Improvement Limit,59.709432468494114,25.252011872206204,3,2000
Random Search,74.19922741991891,0,3,2000
Simple Local Search,60.44699742278016,18.534195672025213,3,2000
2-opt Local Search,59.74185645388507,19.48453032295689,3,2000
Local Search with No Improvement Limit,76.90618022563996,-3.648222360054329,3,2000
Local Search with 2-opt and No Improvement Limit,59.74185645388507,19.48453032295689,3,2000
Random Search,78.80191721912736,0,3,2000
Simple Local Search,70.52027172066434,10.509446712361004,3,2000
2-opt Local Search,58.038175384571936,26.349285102819174,3,2000
Local Search with No Improvement Limit,69.51239943312166,11.78844133978873,3,2000
Local Search with 2-opt and No Improvement Limit,58.038175384571936,26.349285102819174,3,2000
Random Search,78.0154180456433,0,3,2000
Simple Local Search,78.22865293726939,-0.2733240389756452,3,2000
2-opt Local Search,50.83019887888237,34.84595718099733,3,2000
Local Search with No Improvement Limit,72.1791159847613,7.480959798827776,3,2000
Local Search with 2-opt and No Improvement Limit,50.83019887888237,34.84595718099733,3,2000
Random Search,76.62145322052274,0,3,2000
Simple Local Search,53.41277441777646,30.290053016809566,3,2000
2-opt Local Search,53.74551930542939,29.85578183861191,3,2000
Local Search with No Improvement Limit,76.90618022563996,-0.3716021990574252,3,2000
Local Search with 2-opt and No Improvement Limit,53.74551930542939,29.85578183861191,3,2000
Random Search,92.49855046702854,0,3,2000
Simple Local Search,77.12688501241215,16.61827712651095,3,2000
2-opt Local Search,74.00133609916728,19.997301876049033,3,2000
Local Search with No Improvement Limit,83.64705847849896,9.569330485546065,3,2000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,19.997301876049033,3,2000
Random Search,90.6286102095403,0,3,2000
Simple Local Search,91.0002058025895,-0.4100201825781612,3,2000
2-opt Local Search,75.56241044729373,16.624109900187545,3,2000
Local Search with No Improvement Limit,74.00133609916728,18.34660607939313,3,2000
Local Search with 2-opt and No Improvement Limit,75.56241044729373,16.624109900187545,3,2000
Random Search,89.52754785479655,0,3,2000
Simple Local Search,79.5263892884453,11.17104042944635,3,2000
2-opt Local Search,74.46016826895726,16.829880798563654,3,2000
Local Search with No Improvement Limit,83.64705847849896,6.568357468960359,3,2000
Local Search with 2-opt and No Improvement Limit,74.46016826895726,16.829880798563654,3,2000
Random Search,92.60588017973514,0,3,2000
Simple Local Search,76.41015813737549,17.48887004899257,3,2000
2-opt Local Search,74.87007475836809,19.151921440565452,3,2000
Local Search with No Improvement Limit,101.96905232242227,-10.110774957826132,3,2000
Local Search with 2-opt and No Improvement Limit,74.87007475836809,19.151921440565452,3,2000
Random Search,94.9982653873997,0,3,2000
Simple Local Search,85.30906183691991,10.199347862792594,3,2000
2-opt Local Search,74.10873595815309,21.989379852421322,3,2000
Local Search with No Improvement Limit,92.55209991470257,2.5749580402565795,3,2000
Local Search with 2-opt and No Improvement Limit,74.10873595815309,21.989379852421322,3,2000
Random Search,88.9967082933186,0,3,2000
Simple Local Search,76.41015813737549,14.142714261363357,3,2000
2-opt Local Search,74.82696604613437,15.92164757429351,3,2000
Local Search with No Improvement Limit,87.08042000506816,2.153212545720982,3,2000
Local Search with 2-opt and No Improvement Limit,74.82696604613437,15.92164757429351,3,2000
Random Search,94.36146998589659,0,3,2000
Simple Local Search,88.58880397460658,6.117609244697868,3,2000
2-opt Local Search,74.87400780580995,20.65192729935138,3,2000
Local Search with No Improvement Limit,89.76802615203741,4.867923141241575,3,2000
Local Search with 2-opt and No Improvement Limit,74.87400780580995,20.65192729935138,3,2000
Random Search,94.83522854719256,0,2,100
Simple Local Search,103.91904219084049,-9.578522436024477,2,100
2-opt Local Search,75.16543127406942,20.741023746607958,2,100
Local Search with No Improvement Limit,92.84305800945735,2.1006650885476046,2,100
Local Search with 2-opt and No Improvement Limit,75.16543127406942,20.741023746607958,2,100
Random Search,95.46838969926849,0,2,100
Simple Local Search,76.4101581373755,19.96287108426949,2,100
2-opt Local Search,75.75947036795914,20.644445133508274,2,100
Local Search with No Improvement Limit,73.99982631274878,22.487614438817968,2,100
Local Search with 2-opt and No Improvement Limit,75.75947036795914,20.644445133508274,2,100
Random Search,93.58150020474093,0,2,100
Simple Local Search,85.30906183691991,8.839822347068907,2,100
2-opt Local Search,74.00133609916728,20.92311414407279,2,100
Local Search with No Improvement Limit,102.62703752083914,-9.665946043083363,2,100
Local Search with 2-opt and No Improvement Limit,74.00133609916728,20.92311414407279,2,100
Random Search,94.70078881568094,0,2,100
Simple Local Search,92.33468211391036,2.4985079125114815,2,100
2-opt Local Search,74.00133609916728,21.857740548287982,2,100
Local Search with No Improvement Limit,83.64705847849896,11.67226849471781,2,100
Local Search with 2-opt and No Improvement Limit,74.00133609916728,21.857740548287982,2,100
Random Search,89.49036308992483,0,2,100
Simple Local Search,90.78471628106529,-1.4463604196575022,2,100
2-opt Local Search,75.03192628471831,16.156417636475435,2,100
Local Search with No Improvement Limit,89.76802615203741,-0.31027146669811734,2,100
Local Search with 2-opt and No Improvement Limit,75.03192628471831,16.156417636475435,2,100
Random Search,98.05238712552091,0,2,100
Simple Local Search,91.8759282816318,6.299141739387097,2,100
2-opt Local Search,74.09645065696662,24.43177282148909,2,100
Local Search with No Improvement Limit,89.76802615203741,8.448913092629095,2,100
Local Search with 2-opt and No Improvement Limit,74.09645065696662,24.43177282148909,2,100
Random Search,92.25965173419432,0,2,100
Simple Local Search,104.57702738925735,-13.350771895985627,2,100
2-opt Local Search,73.99982631274878,19.791777963841888,2,100
Local Search with No Improvement Limit,89.76802615203741,2.7006665810265997,2,100
Local Search with 2-opt and No Improvement Limit,73.99982631274878,19.791777963841888,2,100
Random Search,88.58124846556794,0,10,100
Simple Local Search,76.4101581373755,13.740030242318621,10,100
2-opt Local Search,75.18196289560494,15.126548566507708,10,100
Local Search with No Improvement Limit,82.8495197633884,6.470589206481432,10,100
Local Search with 2-opt and No Improvement Limit,75.18196289560494,15.126548566507708,10,100
Random Search,85.77216282255083,0,10,100
Simple Local Search,91.0002058025895,-6.095267751210474,10,100
2-opt Local Search,74.30785245197498,13.36600359990188,10,100
Local Search with No Improvement Limit,92.33468211391036,-7.651106227712084,10,100
Local Search with 2-opt and No Improvement Limit,74.30785245197498,13.36600359990188,10,100
Random Search,85.7727398854647,0,10,10000
Simple Local Search,104.57702738925735,-21.92338443298263,10,10000
2-opt Local Search,74.00133609916728,13.723945162549533,10,10000
Local Search with No Improvement Limit,84.26972339203508,1.7523242179702507,10,10000
Local Search with 2-opt and No Improvement Limit,74.00133609916728,13.723945162549533,10,10000
Random Search,85.0879989970232,0,3,10000
Simple Local Search,76.41015813737549,10.198666042142218,3,10000
2-opt Local Search,75.06919125219,11.774642561736254,3,10000
Local Search with No Improvement Limit,92.84305800945735,-9.114163106251278,3,10000
